date,peak_hour_city_power,peak_hour_city_gblend,peak_hour_city_pbase,delta_gblend,delta_pbase
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
2025-09-02,12,12,19.0,0,7.0
