hour,site_count,row_samples,site_avg_nrmse_pct,site_median_nrmse_pct,site_p90_nrmse_pct,active_site_avg_nrmse_pct,avg_zero_actual_ratio_pct,city_nrmse_pct
6,68,8296,3.718587676470588,1.8514265,6.476939000000008,8.60269509375,84.78784960294118,1.460843
7,68,8296,5.719498544117648,4.029795,7.505991000000002,8.30887356451613,38.27145610294117,4.409798
8,68,8296,7.42273394117647,6.805172,11.5456933,7.208103333333333,12.512053970588235,2.910631
9,68,8296,10.754630573529411,10.2909025,16.137952300000002,9.996127396825397,11.041465735294118,4.755372
10,68,8296,13.786368147058823,12.597088,21.793752100000006,12.59570388888889,10.535197617647057,6.909594
11,68,8296,15.297639044117645,13.6860185,23.30156150000001,13.952153682539683,10.36644163235294,6.833635
12,68,8296,16.144741250000003,14.204533999999999,24.495373800000017,14.78683873015873,10.209739588235294,6.970182
13,68,8296,15.864327588235296,14.370546000000001,23.117582300000016,14.643483793650795,10.270009588235293,7.118481
14,68,8296,13.818307779411766,12.8540385,20.9920353,12.834441333333332,10.390549632352942,6.592697
15,68,8296,9.968462205882352,8.6379485,14.957619000000003,9.332574047619048,10.595467647058824,3.78936
16,68,8296,6.609298955882353,5.3176635,10.896877900000003,6.392864825396826,12.427675970588234,2.022263
17,68,8296,4.1712533088235295,2.1727615,6.6933424000000015,6.420085596774193,54.676952779411764,2.369822
18,68,8296,3.815655,1.982446,8.088065900000005,7.208429217391304,84.4141755,1.590597
19,68,8296,3.5031490147058824,1.8548315,6.475567000000007,16.924761142857143,91.64657663235295,1.454031
